Theta, Alpha, Low_beta, High_beta, Gamma
1.67526341,0.709100853,0.381908867,0.142246186,0.285320604
1.359940955,0.691504427,0.535665984,0.178439301,0.222735639
1.099223813,0.614141809,0.147441601,0.275737936,0.108583682
0.61484942,0.456622384,0.65241476,0.475188208,0.23572278
1.862878041,1.045537206,3.140070359,0.663265629,1.172073603
1.67526341,0.709100853,0.381908867,0.142246186,0.285320604
1.359940955,0.691504427,0.535665984,0.178439301,0.222735639
1.099223813,0.614141809,0.147441601,0.275737936,0.108583682
0.61484942,0.456622384,0.65241476,0.475188208,0.23572278
1.862878041,1.045537206,3.140070359,0.663265629,1.172073603
1.67526341,0.709100853,0.381908867,0.142246186,0.285320604
1.359940955,0.691504427,0.535665984,0.178439301,0.222735639
1.099223813,0.614141809,0.147441601,0.275737936,0.108583682
0.61484942,0.456622384,0.65241476,0.475188208,0.23572278
1.862878041,1.045537206,3.140070359,0.663265629,1.172073603
1.67526341,0.709100853,0.381908867,0.142246186,0.285320604
1.359940955,0.691504427,0.535665984,0.178439301,0.222735639
1.099223813,0.614141809,0.147441601,0.275737936,0.108583682
0.61484942,0.456622384,0.65241476,0.475188208,0.23572278
1.862878041,1.045537206,3.140070359,0.663265629,1.172073603
1.67526341,0.709100853,0.381908867,0.142246186,0.285320604
0.896924199,0.494522304,0.51796346,0.186508465,0.175073137
1.238449339,0.435370022,0.105454408,0.16279103,0.089923878
1.073790362,0.697239691,0.529531136,0.620983926,0.217651462
2.824269833,1.536446817,3.580296652,0.539251137,0.966822065
1.726793983,0.892645554,0.656178758,0.14271242,0.281443241
0.896924199,0.494522304,0.51796346,0.186508465,0.175073137
1.238449339,0.435370022,0.105454408,0.16279103,0.089923878
1.073790362,0.697239691,0.529531136,0.620983926,0.217651462
2.824269833,1.536446817,3.580296652,0.539251137,0.966822065
1.726793983,0.892645554,0.656178758,0.14271242,0.281443241
0.896924199,0.494522304,0.51796346,0.186508465,0.175073137
1.238449339,0.435370022,0.105454408,0.16279103,0.089923878
1.073790362,0.697239691,0.529531136,0.620983926,0.217651462
2.824269833,1.536446817,3.580296652,0.539251137,0.966822065
1.726793983,0.892645554,0.656178758,0.14271242,0.281443241
0.896924199,0.494522304,0.51796346,0.186508465,0.175073137
1.238449339,0.435370022,0.105454408,0.16279103,0.089923878
1.073790362,0.697239691,0.529531136,0.620983926,0.217651462
2.824269833,1.536446817,3.580296652,0.539251137,0.966822065
1.726793983,0.892645554,0.656178758,0.14271242,0.281443241
0.896924199,0.494522304,0.51796346,0.186508465,0.175073137
1.238449339,0.435370022,0.105454408,0.16279103,0.089923878
1.073790362,0.697239691,0.529531136,0.620983926,0.217651462
2.824269833,1.536446817,3.580296652,0.539251137,0.966822065
1.726793983,0.892645554,0.656178758,0.14271242,0.281443241
0.575630236,0.328195107,0.633227539,0.158905257,0.152627862
1.683607473,0.304446425,0.164064145,0.089831484,0.142506323
1.315950615,0.390527875,0.291673486,0.291751504,0.194494055
1.941649527,1.452007176,3.589084381,0.667270523,0.873740771
0.886892634,0.395808587,0.756253187,0.176337442,0.203298466
